MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold
0.21689728490161456,0.2955864053169863,0.06837513406809914,0.13675026813619828,0.8777777777777778,0.9424757823639125,0.9625,1.2369544162542696,0.9861111111111112,1.411712042601723,Bootstrap,swh,12h,4
0.1815374150562658,0.2647918604229954,0.059238135528419465,0.11847627105683893,0.8669354838709677,0.6854597345489384,0.918010752688172,0.9554474719571824,0.946236559139785,1.128334666524568,Bootstrap,swh,12h,5
0.1272622773595831,0.19106301351636623,0.04304963048207301,0.08609926096414602,0.8757062146892656,0.5230322949037153,0.9463276836158192,0.8069425437853155,0.9717514124293786,1.1615159640011272,Bootstrap,swh,12h,6
0.7828494259673062,0.9901536261578219,0.2282298149067241,0.4564596298134482,0.6424731182795699,1.7976030459479009,0.8575268817204301,2.687242766290205,0.9354838709677419,3.372179417715462,Bootstrap,swh,24h,1
0.49560558099755864,0.6586465512710598,0.15956907788415467,0.31913815576830934,0.9032738095238095,2.1539243607089844,0.9464285714285714,2.663373892372174,0.9717261904761905,3.111780122684444,Bootstrap,swh,24h,2
0.494415064473619,0.6226506776822993,0.145681725284768,0.291363450569536,0.8064516129032258,1.7002664388651192,0.9341397849462365,2.2726588193238255,0.9825268817204301,2.7833913829893864,Bootstrap,swh,24h,3
0.33565954449716884,0.431366165933209,0.10596431452859788,0.21192862905719576,0.9125,1.5163062641156235,0.9416666666666667,1.8530649378486204,0.9638888888888889,2.1055492492046324,Bootstrap,swh,24h,4
0.3186828903775926,0.4042541770885351,0.09484082358283584,0.18968164716567168,0.8279569892473119,1.1141357319053695,0.9301075268817204,1.3732501520615745,0.9583333333333334,1.6317130689289694,Bootstrap,swh,24h,5
0.21241595106980893,0.3001825315088529,0.0710975930873455,0.142195186174691,0.8735632183908046,0.9861485619735326,0.9454022988505747,1.2990947527877188,0.9841954022988506,1.4831465771956098,Bootstrap,swh,24h,6
0.9866028819597066,1.192386638309081,0.2825678763011541,0.5651357526023082,0.7473118279569892,2.714133100152847,0.956989247311828,3.67239092847074,0.9798387096774194,4.536414904484069,Bootstrap,swh,48h,1
0.746787302353799,0.8890847215587001,0.21447040197393466,0.4289408039478693,0.8794642857142857,2.7364248134991667,0.9523809523809523,3.3064734820705763,0.9598214285714286,3.785635625471187,Bootstrap,swh,48h,2
0.5737492676328271,0.7515349700110637,0.17707883048319345,0.3541576609663869,0.8051075268817204,1.8591945725341052,0.8682795698924731,2.4059346544746316,0.9126344086021505,2.7152629581993426,Bootstrap,swh,48h,3
0.4622915322175686,0.524574497859,0.14163795954623332,0.28327591909246663,0.8680555555555556,1.911167256484126,0.9513888888888888,2.7235638643623603,1.0,2.9686985917079496,Bootstrap,swh,48h,4
0.4519092671449142,0.5529653512733945,0.13279450529766315,0.2655890105953263,0.6129032258064516,1.23911925385579,0.7782258064516129,1.5090997115557336,0.9247311827956989,1.780050982155177,Bootstrap,swh,48h,5
