MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,LeadTime,Fold
16.03151471608971,21.819948551847858,5.608029354196415,11.21605870839283,0.7172619047619048,58.86023303923211,0.8601190476190477,98.20880922405665,0.9166666666666666,124.56039584830454,Bootstrap,12h,4
15.858534628903735,21.569300428564045,5.546870728779444,11.093741457558888,0.7083333333333334,55.347762242367764,0.8095238095238095,84.52656380199616,0.8898809523809523,106.53253201889213,Conformal,12h,4
15.370165965325462,21.556630541948042,5.068377080141279,10.136754160282559,0.7946428571428571,54.97173010046798,0.8958333333333334,73.66397698921926,0.9553571428571429,85.60121214414245,Bootstrap,24h,1
15.361791733673115,21.55099494516865,5.078376504438053,10.156753008876105,0.7827380952380952,52.773708405697995,0.8690476190476191,65.29898873882738,0.9226190476190477,77.87636805836334,Conformal,24h,1
16.7057374894571,21.716230467502267,4.820831203303245,9.64166240660649,0.6636904761904762,34.23018495402316,0.7857142857142857,44.311939540433535,0.8452380952380952,51.88432598222486,Bootstrap,24h,2
16.685925199904183,21.7027205307142,4.884759118893682,9.769518237787365,0.6517857142857143,32.682459891565784,0.7738095238095238,40.84416655767867,0.7946428571428571,46.7517612455776,Conformal,24h,2
14.183825401685946,17.933628915533664,4.588113435676181,9.176226871352362,0.5833333333333334,39.779811482186616,0.7529761904761905,54.01726535825624,0.8422619047619048,64.82094098762147,Bootstrap,24h,3
14.218507316681764,18.014942156430795,4.60866223646163,9.21732447292326,0.5654761904761905,37.700877915722494,0.6815476190476191,48.71629227872282,0.7916666666666666,57.69446948600756,Conformal,24h,3
18.400353300354134,24.521114775970904,5.953913988649215,11.90782797729843,0.6875,61.05133665151072,0.7916666666666666,88.13984905392526,0.8392857142857143,114.72562648747387,Bootstrap,24h,4
18.51083806433823,24.66150240811108,5.90443320916709,11.80886641833418,0.6785714285714286,57.473235328055104,0.7559523809523809,79.18961782825947,0.8214285714285714,95.44059419367633,Conformal,24h,4
