,,,MAE_median,MAE_median,RMSE_median,RMSE_median,MeanPinball,MeanPinball,CRPS_approx,CRPS_approx,Cov_80,Cov_80,Width_80,Width_80,Cov_90,Cov_90,Width_90,Width_90,Cov_95,Cov_95,Width_95,Width_95
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Target,LeadTime,Model,,,,,,,,,,,,,,,,,,,,
swh,12h,QRF,0.3015142870160639,0.1512192332320963,0.4008895450993561,0.19288593632130874,0.09129472488012375,0.04310482783961216,0.1825894497602475,0.08620965567922433,0.8129133959488661,0.025275565977618528,0.9653904910705245,0.37383758519319993,0.9088026515052895,0.015644628225413133,1.2805593393005401,0.48289029118302523,0.9606077026217813,0.010040928523214277,1.5652517940131219,0.5609888930932415
swh,1h,QR,0.031270816547916,0.01432088315012688,0.04528711797461688,0.019680667017961596,0.00950057724834443,0.0043510703309089524,0.01900115449668886,0.008702140661817905,0.7929908489572169,0.008869206666648755,0.10035647444390111,0.04595750834079922,0.913292569222344,0.006403023536011091,0.13477290918447896,0.062037871663319435,0.9640845672444779,0.0077882490255501684,0.16771638949242404,0.07690699358956647
swh,1h,QRF,0.032240671002387825,0.01566364156071961,0.047304502220761845,0.022617430205077782,0.01004357088920379,0.004960974363569413,0.02008714177840758,0.009921948727138826,0.8913681871096403,0.02143451002495817,0.12054590046196893,0.06274036799623312,0.9557981895356834,0.00982568864074416,0.16039313119284881,0.08239097600489728,0.9808905919260242,0.00450812243753337,0.1980235242130137,0.10014192243363894
swh,24h,QR,0.4481124566935813,0.1940579615095841,0.5801523438391403,0.2470698213662982,0.13265376286010055,0.05511928606588749,0.2653075257202011,0.11023857213177499,0.7934600688007251,0.02728582287777766,1.361111089659876,0.5277470315194893,0.8980770079629924,0.009954182482439875,1.7625743845188662,0.6629607154339595,0.9504054696282171,0.008003809319747696,2.1337309998064344,0.780325545911796
swh,24h,QRF,0.4824485243377416,0.20991626096061694,0.6104696011328764,0.2619744571779216,0.14164613287858735,0.057408818525035044,0.2832922657571747,0.11481763705007009,0.7625424303017462,0.07798112710560552,1.4282922364502593,0.5753884248905731,0.871989030286444,0.043127471236136576,1.8229667070186746,0.7249581536168964,0.9330018362554514,0.031937311313045086,2.1875755969301576,0.8390418762892536
swh,3h,QR,0.08957526477495588,0.03876765344534801,0.12765331480970857,0.05556144271078273,0.02739379089705229,0.01186158360522293,0.05478758179410458,0.02372316721044586,0.8033102682030506,0.027320157723080194,0.29742608484430016,0.126261389336254,0.9143177141021823,0.021903841458847766,0.39561533331119314,0.16806878665940717,0.9644557870950603,0.010143841741886617,0.49203241684081495,0.2076396407005505
swh,3h,QRF,0.09068578612741117,0.04339989951970206,0.12831503488022897,0.06125126815263047,0.027850835614127305,0.013497574288545484,0.05570167122825461,0.02699514857709097,0.8737677069073007,0.024775189145834594,0.3322371831127736,0.16021219838684417,0.9480470314953714,0.014414202469515445,0.44087488165490846,0.20765722101019032,0.9809143288657225,0.006155223696536203,0.5493580937687682,0.2543309237377185
swh,48h,QR,0.5591476970968989,0.18611267329320297,0.700975818602647,0.2321515765708985,0.1618303777811641,0.051760454417710135,0.3236607555623282,0.10352090883542027,0.8228521292029356,0.05408248765308851,1.7520253651077076,0.5808334657149696,0.9188982761563406,0.03938275629187071,2.2455045925115793,0.7751445229652354,0.9620135688684076,0.0205366022148848,2.6542163552744698,0.8759357252497889
swh,48h,QRF,0.700808371735791,0.3223878821659075,0.8670711869169363,0.40551199938917715,0.20205086461943822,0.0884232670556013,0.40410172923887644,0.1768465341112026,0.676435291858679,0.11128699043344897,1.676309897166752,0.6235197296759308,0.8162794418842806,0.09315983054432463,2.157388563534733,0.8489200575551828,0.901933990442055,0.06575925834619697,2.5269824255419016,1.0066699855802812
swh,6h,QR,0.16721109199813344,0.07412479383279609,0.23238209828430212,0.1007715097774047,0.051128118957287,0.021976769303271415,0.102256237914574,0.04395353860654283,0.8037263875084083,0.02438118501644332,0.5512229097304039,0.22877207819070092,0.9070136880917241,0.02338359860264319,0.7270201890965815,0.30279831336858243,0.958427927622662,0.015065283337099347,0.9029693662028303,0.3778271642669759
swh,6h,QRF,0.16555353597532205,0.08066563339106489,0.22947360420357202,0.10833798051074015,0.050778190671774644,0.023802015858127336,0.10155638134354929,0.04760403171625467,0.8510216183247493,0.025450801994657265,0.5839913628982059,0.26457877326910345,0.9377964581890104,0.01912307917936933,0.7852893518518518,0.34756728843014095,0.9744629930825376,0.010446490783796964,0.9743244756684035,0.41571185626496626
