MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold,CrossingRate_before_fix,SelectedMinSamplesLeaf
0.2126740782737872,0.29445926064698913,0.06764990038535126,0.13529980077070253,0.7916666666666666,0.6767794350124766,0.8951612903225806,0.9317148189285379,0.928763440860215,1.1522475221378208,QR,mwp,3h,5,0.008064516129032258,
0.20568548387096772,0.2825224798363897,0.0645990488006617,0.1291980976013234,0.8669354838709677,0.7366129032258064,0.9314516129032258,1.0120295698924733,0.9663978494623656,1.2878763440860217,QRF,mwp,3h,5,,20.0
0.17653061062597886,0.23586160637328704,0.054000768707500105,0.10800153741500021,0.7907949790794979,0.5811805575604749,0.9079497907949791,0.7942034170057495,0.9553695955369595,0.9889438839151633,QR,mwp,3h,6,0.005578800557880056,
0.17326359832635985,0.22850096667469308,0.053666961699388484,0.10733392339877697,0.8716875871687587,0.6705299860529986,0.9539748953974896,0.9149511854951186,0.9832635983263598,1.1588145048814504,QRF,mwp,3h,6,,20.0
0.5337750697532784,0.7178934423496459,0.16658157707336446,0.3331631541467289,0.7137096774193549,1.362774118437534,0.8454301075268817,1.9486524478369784,0.9059139784946236,2.4878243261593074,QR,mwp,6h,1,0.005376344086021506,
0.5310887096774194,0.7124038324083521,0.16299744106699754,0.3259948821339951,0.7849462365591398,1.5521639784946235,0.8978494623655914,2.1155376344086023,0.9301075268817204,2.684422043010753,QRF,mwp,6h,1,,20.0
0.5268669665914661,0.7125653582958552,0.16297457639295904,0.3259491527859181,0.7619047619047619,1.512431621495137,0.9226190476190477,2.147046438892018,0.9627976190476191,2.738875717225769,QR,mwp,6h,2,0.011904761904761904,
0.536889880952381,0.7101264768301757,0.16428811813186814,0.3285762362637363,0.7351190476190477,1.5139880952380953,0.8839285714285714,2.1113541666666666,0.9508928571428571,2.686636904761905,QRF,mwp,6h,2,,20.0
0.5138801287321961,0.7193987037378795,0.16363661834980603,0.32727323669961206,0.7876344086021505,1.4720262444849326,0.8548387096774194,2.0082410206345656,0.9099462365591398,2.5643880507982306,QR,mwp,6h,3,0.024193548387096774,
0.5244623655913978,0.7299038823155791,0.16701413875103388,0.33402827750206776,0.7849462365591398,1.5454166666666667,0.8763440860215054,2.1355241935483873,0.9314516129032258,2.719744623655914,QRF,mwp,6h,3,,40.0
0.40577733122992904,0.5478735180747861,0.12621028827373232,0.25242057654746464,0.8069444444444445,1.3351895411960937,0.9027777777777778,1.8299351612358123,0.9527777777777777,2.2890915187850562,QR,mwp,6h,4,0.002777777777777778,
0.3906944444444444,0.5345236716512708,0.12169161324786325,0.2433832264957265,0.8472222222222222,1.3345694444444445,0.9152777777777777,1.8291249999999997,0.9569444444444445,2.314777777777778,QRF,mwp,6h,4,,20.0
0.37222714327693485,0.5102129932088262,0.1177338963530204,0.2354677927060408,0.821236559139785,1.1993827059307305,0.9005376344086021,1.6488443670706336,0.9502688172043011,2.1299906352233413,QR,mwp,6h,5,0.0013440860215053765,
0.36505376344086027,0.5036274331267603,0.1147530500413565,0.229506100082713,0.864247311827957,1.2789784946236558,0.9247311827956989,1.7710080645161288,0.9556451612903226,2.243225806451613,QRF,mwp,6h,5,,40.0
0.30622249605502083,0.40413600292656837,0.092781792411092,0.185563584822184,0.819327731092437,1.037530183041359,0.9327731092436975,1.4422317307464811,0.9761904761904762,1.827339614547484,QR,mwp,6h,6,0.0070028011204481795,
0.3077591036414566,0.39928823227960875,0.09523303167420813,0.19046606334841626,0.8795518207282913,1.1822549019607842,0.9509803921568627,1.6249579831932774,0.9775910364145658,2.0253221288515406,QRF,mwp,6h,6,,20.0
0.8522154321334106,1.12865821923617,0.25914175784369786,0.5182835156873957,0.7567204301075269,2.268971749498034,0.8588709677419355,3.1265708030472763,0.9274193548387096,3.974244258521888,QR,mwp,12h,1,0.0,
0.862271505376344,1.1166594647496855,0.25879792183622824,0.5175958436724565,0.7836021505376344,2.555766129032258,0.896505376344086,3.4664247311827956,0.9516129032258065,4.253629032258064,QRF,mwp,12h,1,,40.0
0.8581416521821404,1.142062244330567,0.26150246519078146,0.5230049303815629,0.7738095238095238,2.5250826557103307,0.9136904761904762,3.3924856926566727,0.9568452380952381,4.178280859125072,QR,mwp,12h,2,0.0,
0.8801041666666668,1.1668840146181747,0.27116706730769236,0.5423341346153847,0.7663690476190477,2.491175595238095,0.8839285714285714,3.3615476190476192,0.9345238095238095,4.237410714285714,QRF,mwp,12h,2,,40.0
0.8479896743970385,1.1457658314233352,0.2681211853911566,0.5362423707823132,0.7311827956989247,2.3183062735294784,0.8118279569892473,3.082791498545149,0.8736559139784946,3.7514045763007116,QR,mwp,12h,3,0.006720430107526882,
0.8818145161290322,1.1853204389576486,0.2775783964019851,0.5551567928039702,0.739247311827957,2.5340322580645163,0.8387096774193549,3.3858333333333333,0.9005376344086021,4.189153225806451,QRF,mwp,12h,3,,40.0
0.6605323558245548,0.891863312557731,0.2061279227124603,0.4122558454249206,0.7902777777777777,2.1753039674324994,0.8958333333333334,2.904448918941655,0.9486111111111111,3.5078158568027593,QR,mwp,12h,4,0.0,
0.6666805555555555,0.8965389469138154,0.20847174145299147,0.41694348290598293,0.8125,2.1799166666666667,0.9138888888888889,2.906763888888889,0.95,3.591944444444444,QRF,mwp,12h,4,,20.0
0.6006576409533703,0.8189045560866175,0.18892420399011042,0.37784840798022085,0.8077956989247311,1.9505604931549607,0.8870967741935484,2.6375279072883444,0.9529569892473119,3.224223878820146,QR,mwp,12h,5,0.006720430107526882,
