datetime,outdoor_temperature,electricity_price_eur_mwh,storage_soc,compressor_action
2024-02-15 17:00:00,0.7793884,82.01,0.30275336318595214,0.0
2024-02-15 18:00:00,0.73239136,82.01,0.2993925557424406,0.0
2024-02-15 19:00:00,0.68481445,69.97,0.29602591459324507,0.0
2024-02-15 20:00:00,0.63223267,64.06,0.2926526174350391,0.0
2024-02-15 21:00:00,0.63009644,55.45,0.2908823430223494,0.11514279991388321
2024-02-15 22:00:00,0.596405,51.74,0.29158573979379926,0.2935095727443695
2024-02-15 23:00:00,0.7437134,48.38,0.2945213887268137,0.4511997699737549
2024-02-16 00:00:00,0.8938904,38.19,0.298840978823382,0.547380805015564
2024-02-16 01:00:00,1.0975037,34.56,0.3023065489324905,0.4822878837585449
2024-02-16 02:00:00,1.4746094,32.5,0.3050441966154448,0.42325007915496826
2024-02-16 03:00:00,1.9814758,30.16,0.3088184078355777,0.4864945411682129
2024-02-16 04:00:00,2.9868774,29.89,0.31293233732636827,0.4902064800262451
2024-02-16 05:00:00,3.8595276,32.84,0.3151010675606871,0.3411286473274231
2024-02-16 06:00:00,4.338196,35.81,0.3164500924635284,0.27788394689559937
2024-02-16 07:00:00,5.433716,39.07,0.3156867674557716,0.12112324684858322
2024-02-16 08:00:00,6.7012634,38.89,0.3133030638562982,0.0
2024-02-16 09:00:00,6.9349976,38.08,0.3109593566219845,0.0
2024-02-16 10:00:00,7.25531,35.69,0.3086699071580112,0.0
2024-02-16 11:00:00,7.1010437,35.21,0.3063563774242164,0.0
2024-02-16 12:00:00,7.2767334,36.14,0.3040732246087618,0.0
2024-02-16 13:00:00,7.6704407,32.99,0.3018564033894965,0.0
2024-02-16 14:00:00,8.224518,32.35,0.29973233501746266,0.0
2024-02-16 15:00:00,8.454559,31.29,0.2976474978514522,0.0
2024-02-16 16:00:00,7.8855286,33.95,0.29547002157174146,0.0
2024-02-16 17:00:00,6.7519836,37.92,0.29310681685279844,0.0
2024-02-16 18:00:00,6.3803406,36.14,0.2906837089616868,0.0
2024-02-16 19:00:00,6.38266,29.99,0.2882624376363099,0.0
2024-02-16 20:00:00,6.258911,26.36,0.28582220048872814,0.0
2024-02-16 21:00:00,6.105194,25.51,0.28335806417843495,0.0
2024-02-16 22:00:00,5.988983,24.43,0.2808762315349279,0.0
2024-02-16 23:00:00,5.381012,19.56,0.27829557277600686,0.0
2024-02-17 00:00:00,3.5056458,19.32,0.2754070269893413,0.0
2024-02-17 01:00:00,0.5119934,18.88,0.2755499146300583,0.2539021074771881
2024-02-17 02:00:00,-1.510437,18.43,0.2773000782757675,0.40865659713745117
2024-02-17 03:00:00,-2.0499573,13.22,0.27879424556405785,0.4002860188484192
2024-02-17 04:00:00,-2.1809998,11.16,0.2809781764534405,0.45522046089172363
2024-02-17 05:00:00,-2.292633,9.99,0.28263186709156934,0.41744160652160645
2024-02-17 06:00:00,-2.4202576,11.11,0.2836968735197402,0.37534821033477783
2024-02-17 07:00:00,-2.415985,17.23,0.2846899973559385,0.3698446750640869
2024-02-17 08:00:00,-2.2826843,19.78,0.2857065078725721,0.36906033754348755
2024-02-17 09:00:00,-2.1066895,21.43,0.2877006591973519,0.4396154284477234
2024-02-17 10:00:00,-2.9010315,20.78,0.28974967398517926,0.460685133934021
2024-02-17 11:00:00,-2.6680908,16.91,0.2923897157002239,0.50096595287323
2024-02-17 12:00:00,-2.5685425,13.2,0.29476638795447146,0.4787901043891907
2024-02-17 13:00:00,-2.712494,12.22,0.2966173812379253,0.44181984663009644
2024-02-17 14:00:00,-2.9603577,13.0,0.29897388699076133,0.4860091209411621
2024-02-17 15:00:00,-3.257904,19.33,0.3024450106619554,0.5788758397102356
2024-02-17 16:00:00,-3.56839,23.51,0.30629604862020443,0.6160638928413391
2024-02-17 17:00:00,-3.7486267,26.33,0.31246183795518795,0.8013904094696045
2024-02-17 18:00:00,-3.757782,26.41,0.3202985975306737,0.9323773384094238
2024-02-17 19:00:00,-3.623108,25.86,0.3289311375943079,0.9905256032943726
2024-02-17 20:00:00,-3.4143066,25.69,0.3377668416727513,1.0
2024-02-17 21:00:00,-3.2176208,26.21,0.34667886893574773,1.0
2024-02-17 22:00:00,-3.563568,25.41,0.3554419808943862,1.0
2024-02-17 23:00:00,-3.3874207,24.56,0.3629314237946778,0.8960320949554443
2024-02-18 00:00:00,-3.2978516,19.41,0.36919661525794256,0.7989684343338013
2024-02-18 01:00:00,-3.299469,21.92,0.3733569189828831,0.6364525556564331
2024-02-18 02:00:00,-3.360138,24.89,0.374770803309168,0.4254326820373535
2024-02-18 03:00:00,-3.4775085,28.42,0.37668029972929257,0.4664485454559326
2024-02-18 04:00:00,-3.610321,33.38,0.3784126972856082,0.45566415786743164
2024-02-18 05:00:00,-3.6854248,34.94,0.37852790413209353,0.33131712675094604
2024-02-18 06:00:00,-3.727539,37.99,0.37516019389140426,0.06041843444108963
2024-02-18 07:00:00,-3.7362976,39.61,0.3710186086710694,0.0
2024-02-18 08:00:00,-3.63266,41.75,0.3668966086058667,0.0
2024-02-18 09:00:00,-3.306244,43.03,0.3628309403807032,0.0
2024-02-18 10:00:00,-2.894928,40.45,0.35883557869647476,0.0
2024-02-18 11:00:00,-2.5982056,41.0,0.3548915734252569,0.0
2024-02-18 12:00:00,-2.203827,40.1,0.3510150070262018,0.0
2024-02-18 13:00:00,-1.9270935,39.88,0.347186427594486,0.0
2024-02-18 14:00:00,-1.8302307,42.87,0.34337612767242937,0.0
2024-02-18 15:00:00,-1.9229431,46.66,0.33955281638432594,0.0
