timestamp;alarm status;wind speed [m/s];reference power [kW];temperature [C];power [kW];P10 limit [kW]
2003-04-11 07:50:00;0.0;4.166920906564588;74.18032996711251;-1.9;55.0;52.08379019883556
2003-04-11 08:00:00;0.0;4.166920906564588;74.18032996711251;-1.9;74.0;52.08379019883556
2003-04-11 08:10:00;0.0;3.9636564720980227;57.32536863884166;-1.9;78.0;40.08954902774404
2003-04-11 08:20:00;0.0;3.5571276031648926;33.56059727551948;-1.9;20.0;23.11471233965677
2003-04-11 08:30:00;0.0;3.760854257787012;45.47000331700173;-2.0;34.0;31.621430940715527
2003-04-11 08:40:00;0.0;3.8624989674569306;51.41192643782742;-2.0;54.0;35.8656617413053
2003-04-11 08:50:00;0.0;3.96414367712685;57.35384955865315;-2.0;59.0;40.109892541895114
2003-04-11 09:00:00;0.0;3.7613167052872507;45.49703696688632;-2.1;29.0;31.640740690633088
2003-04-11 09:10:00;0.0;3.5580022887852367;33.61172944686272;-2.1;27.0;23.151235319187656
2003-04-11 09:20:00;0;3.355100528400589;32.0;-2.2;14.0;22.0
2003-04-11 09:30:00;0.0;3.660109667346097;39.5806991595799;-2.2;40.0;27.414785113985644
2003-04-11 09:40:00;0.0;3.660560059237353;39.60702806544011;-2.3;51.0;27.433591475314365
2003-04-11 09:50:00;0.0;3.8620242548647403;51.38417579801112;-1.9;47.0;35.84583985572223
2003-04-11 10:00:00;0.0;3.5566905827534465;33.53505003655862;-1.8;26.0;23.096464311827585
2003-04-11 10:10:00;2.0;3.2518313899460085;32.0;-1.8;13.0;22.0
2003-04-11 10:20:00;2.0;3.1502116590101954;32.0;-1.8;8.0;22.0
2003-04-11 10:30:00;2.0;3.1502116590101954;32.0;-1.8;8.0;22.0
2003-04-11 10:40:00;2.0;2.7437327352669447;32.0;-1.8;0.0;22.0
2003-04-11 10:50:00;2.0;2.5401812693057964;32.0;-1.7;0.0;22.0
2003-04-11 11:00:00;2.0;2.133752266216869;32.0;-1.7;0.0;22.0
2003-04-11 11:10:00;2.0;1.8287059812708344;32.0;-1.6;0.0;22.0
2003-04-11 11:20:00;2.0;1.9305377646724051;32.0;-1.7;0.0;22.0
2003-04-11 11:30:00;2.0;2.337253811523693;32.0;-1.8;0.0;22.0
2003-04-11 11:40:00;2.0;2.0316461765131635;32.0;-1.5;0.0;22.0
2003-04-11 11:50:00;2.0;2.336393102990138;32.0;-1.5;0.0;22.0
2003-04-11 12:00:00;2.0;2.23481079416448;32.0;-1.5;0.0;22.0
2003-04-11 12:10:00;2.0;2.946248525380789;32.0;-1.6;0.0;22.0
2003-04-11 12:20:00;2.0;3.2506338824210617;32.0;-1.5;10.0;22.0
2003-04-11 12:30:00;0.0;3.4537985000723777;32.0;-1.5;30.0;22.0
2003-04-11 12:40:00;2.0;3.3522161912467197;32.0;-1.5;19.0;22.0
2003-04-11 12:50:00;2.0;3.1486652579964103;32.0;-1.4;6.0;22.0
2003-04-11 13:00:00;2.0;3.249836523247007;32.0;-1.3;15.0;22.0
2003-04-11 13:10:00;2.0;3.350983078686961;32.0;-1.2;16.0;22.0
2003-04-11 13:20:00;2.0;3.350983078686961;32.0;-1.2;13.0;22.0
2003-04-11 13:30:00;2.0;3.0459749492302404;32.0;-1.1;0.0;22.0
2003-04-11 13:40:00;0.0;3.452104942460939;32.0;-1.1;23.0;22.0
2003-04-11 13:50:00;0.0;3.350572444153264;32.0;-1.1;21.0;22.0
2003-04-11 14:00:00;0;3.24903994584559;32.0;-1.1;17.0;22.0
2003-04-11 14:10:00;0;2.8429099526148907;32.0;-1.1;0.0;22.0
2003-04-11 14:20:00;0;2.8425617061542976;32.0;-1.0;0.0;22.0
2003-04-11 14:30:00;0;3.1475074475379152;32.0;-1.1;7.0;22.0
2003-04-11 14:40:00;0;3.1471218889565438;32.0;-1.0;7.0;22.0
2003-04-11 14:50:00;0.0;3.8582349356916374;51.162660647050814;-1.1;34.0;35.68761474789344
2003-04-11 15:00:00;0.0;4.162832430614661;73.8122549764042;-1.1;69.0;51.82204798322077
